Node_ID,Description,Family,Colour (Family)
MT664722,Proteus phage Vb_PmiP-P59,Grimontviridae,#851F61
PP384395,Teseptimavirus T7,Autographiviridae,#26AD98
MZ502379,Escherichia phage vB_EcoM_Shinka,Straboviridae,#E82358
OX241504,Vibrio phage 413E50-1,Zobellviridae,#4CEBB1
KU599888,Flavobacterium phage 23T,Duneviridae,#AAF6E2
MF001363,Salmonella phage SH9,Demerecviridae,#EABE70
MW291020,Microbacterium phage Jerky,Orlajensenviridae,#FF610B
MZ334524,Haloarcula virus HCTV-16,Druskaviridae,#DD4879
ON778463,Escherichia phage PO103-1,Chaseviridae,#42DB2E
KM236245,Bacillus phage Mater,Herelleviridae,#EA8B1A
OR553916,Mycobacterium phage Dulcita,Vilmaviridae,#79A4A5
MF431617,Lentibacter phage vB_LenP_ICBM1,Zobellviridae,#4CEBB1
OQ504984,Synechococcus phage S-8S56,Kyanoviridae,#478C15
MZ334498,Halorubrum virus HRTV-20,Hafunaviridae,#E00FE5
LT962380,Yersinia phage fPS-85,Autographiviridae,#26AD98
MH937475,Streptococcus phage CHPC931,Aliceevansviridae,#BCA015
MT028297,Proteus phage Privateer,Grimontviridae,#851F61
FJ867910,Siovirus americense,Zobellviridae,#4CEBB1
KC821607,Cellulophaga phage phi19:1,Assiduviridae,#A3D81F
OL964746,Salmonella phage selz,Ackermannviridae,#99CEE5
ON932080,Xanthomonas phage vB_Xar_IVIA-DoCa6,Mesyanzhinovviridae,#2369F4
OK210075,Citrobacter phage KKP_3664,Straboviridae,#E82358
MH937505,Streptococcus phage CHPC1109,Aliceevansviridae,#BCA015
PP438409,Leptolyngbya phage Lsp-JY17,Saffermanviridae,#E2D410
OZ035789,Tequatrovirus BCH953P4,Straboviridae,#E82358
MK894434,Microbacterium phage LaviMo,Orlajensenviridae,#FF610B
OR495699,Staphylococcus phage CUB-A,Herelleviridae,#EA8B1A
MW421583,Flavobacterium phage FPSV-F8,Winoviridae,#0BD5E3
OR565851,Citrobacter phage Shae_phiSM,Peduoviridae,#320B0F
KJ019097,Synechococcus phage ACG-2014f,Kyanoviridae,#478C15
KC292028,Haloarcula californiae tailed virus 2,Saparoviridae,#F01A74
MZ336020,Aeromonas phage pAh6.2TG,Chaseviridae,#42DB2E
Z47794,Streptococcus phage Cp1,Salasmaviridae,#91F04E
KX349298,Cyanophage S-RIM14,Kyanoviridae,#478C15
MK017820,Clostridium phage CPD7,Guelinviridae,#E57F04
MZ334493,Halorubrum phage HRTV-17,Hafunaviridae,#E00FE5
MT774391,uncultured phage cr126_1,Steigviridae,#3FBEF9
MH892384,Streptococcus phage SW32,Aliceevansviridae,#BCA015
OX241501,Vibrio phage 405E50-1,Zobellviridae,#4CEBB1
MG603697,Vibrio phage Vp_R1,Grimontviridae,#851F61
JF937105,Mycobacterium phage Rey,Vilmaviridae,#79A4A5
OR538761,Pseudomonas phage PSP2,Mesyanzhinovviridae,#2369F4
MH892362,Streptococcus phage SW13,Aliceevansviridae,#BCA015
KJ019137,Synechococcus phage ACG-2014a,Kyanoviridae,#478C15
OR805294,Pseudomonas phage Ettore,Arenbergviridae,#FC7C77
MW450817,Halorubrum virus VOLN27B,Hafunaviridae,#E00FE5
MZ334513,Haloarcula virus HJTV-2,Hafunaviridae,#E00FE5
ON170073,Ralstonia phage YO032_2,Peduoviridae,#320B0F
MW296032,Salmonella phage pSal-SNUABM-01,Grimontviridae,#851F61
MG592453,Vibrio phage 1.077.O._10N.261.45.A10,Zobellviridae,#4CEBB1
KC117378,Haloarcula sinaiiensis tailed virus 1,Shortaselviridae,#AB1CDD
MH375593,Streptococcus phage 93,Aliceevansviridae,#BCA015
MZ334511,Halorubrum virus HRTV-21,Hafunaviridae,#E00FE5
KU599889,Flavobacterium phage 1H,Duneviridae,#AAF6E2
MH937494,Streptococcus phage CHPC1042,Aliceevansviridae,#BCA015
MK907269,Escherichia phage vB_EcoS-26175III,Demerecviridae,#EABE70
MN871498,Salmonella phage Se-J,Ackermannviridae,#99CEE5
OR797044,Stenotrophomonas phage vB_SmaS_Bhz59,Mesyanzhinovviridae,#2369F4
MK797984,Pseudomonas phage vB_PaeM_PA5oct,Arenbergviridae,#FC7C77
OR125588,Listeria phage cka18,Herelleviridae,#EA8B1A
MZ334512,Halorubrum virus HRTV-24,Hafunaviridae,#E00FE5
MF939898,Oenococcus phage vB_OeS_unk162,Aliceevansviridae,#BCA015
MZ926748,Pseudomonas phage AIIMS-Plu-RaNi,Mesyanzhinovviridae,#2369F4
OR545058,Yersinia phage vB_YpM_476A,Peduoviridae,#320B0F
MT778839,Rhizobium phage P9VFCI,Pootjesviridae,#1B5BA8
MZ501076,Escherichia phage IrmaTschudi,Demerecviridae,#EABE70
HM032710,Acinetobacter phage Ac42,Straboviridae,#E82358
OR283207,Microbacterium phage Chatham,Orlajensenviridae,#FF610B
MW584160,Mycobacterium phage prophi86-1,Vilmaviridae,#79A4A5
MZ334492,Halorubrum phage HRTV-14,Hafunaviridae,#E00FE5
MN013082,Klebsiella phage vB_KpnP_Sibilus,Autographiviridae,#26AD98
KY947509,Bacillus phage SerPounce,Salasmaviridae,#91F04E
MZ089741,Pseudomonas phage PSA39,Mesyanzhinovviridae,#2369F4
MW343794,Cronobacter phage A24,Grimontviridae,#851F61
AP013540,uncultured phage_MedDCM-OCT-S28-C10,Autographiviridae,#26AD98
KC900379,Mycobacterium phage PegLeg,Vilmaviridae,#79A4A5
HQ665011,Escherichia phage vB_EcoS_AKFV33,Demerecviridae,#EABE70
MT658802,Mycobacterium phage Aziz,Vilmaviridae,#79A4A5
KY000220,Bordetella phage FP1,Mesyanzhinovviridae,#2369F4
