Node_ID	Description	Sub-family	Colour (Sub-family)
MF288921	Bacillus phage OTooleKemple52	Bastillevirinae	#44F566
MF288919	Bacillus phage AaronPhadgers	Bastillevirinae	#44F566
MF288918	Bacillus phage Bubs	Bastillevirinae	#44F566
MF288917	Bacillus phage PPIsBest	Bastillevirinae	#44F566
AP018375	Staphylococcus phage phiSA039	Twortvirinae	#18F1A6
KY787213	Salmonella phage BSP101	Cvivirinae	#2B92B3
KY787212	Salmonella phage BSP22A	Markadamsvirinae	#450410
MG214783	Sinorhizobium phage HMSP1-Susan	Unclassified	#D3D3D3
MG845683	Pseudomonas phage phiNV3	Krylovirinae	#95BE3B
MG765274	Lactobacillus phage Maenad	Tybeckvirinae	#9095CA
MG833025	Escherichia phage T7	Studiervirinae	#F8AC65
MG957431	Vibrio phage Rostov-1	Studiervirinae	#F8AC65
KY684082	Shigella phage SFN6B	Slopekvirinae	#AE8C74
KY620117	Salmonella phage BSPM4	Unclassified	#D3D3D3
KY963424	Shigella phage SSP1	Markadamsvirinae	#450410
MF775705	Lactococcus phage LP1502c	Unclassified	#D3D3D3
MF775704	Lactococcus phage LP1502b	Unclassified	#D3D3D3
MF775703	Lactococcus phage LP1502a	Unclassified	#D3D3D3
MF775702	Lactococcus phage LP1407	Unclassified	#D3D3D3
MF775701	Lactococcus phage LP1110	Unclassified	#D3D3D3
MF775700	Lactococcus phage LP1011	Unclassified	#D3D3D3
MF775699	Lactococcus phage LP1005	Unclassified	#D3D3D3
MF775698	Lactococcus phage LP0903	Unclassified	#D3D3D3
MF775697	Lactococcus phage LP0604	Unclassified	#D3D3D3
MF775696	Lactococcus phage LP0509	Unclassified	#D3D3D3
MF775695	Lactococcus phage LP0304	Unclassified	#D3D3D3
MF775694	Lactococcus phage LP0212	Unclassified	#D3D3D3
MF775693	Lactococcus phage LP0209	Unclassified	#D3D3D3
MF775692	Lactococcus phage LP0202	Unclassified	#D3D3D3
MF775691	Lactococcus phage LP0109	Unclassified	#D3D3D3
MF775690	Lactococcus phage LP0004d	Unclassified	#D3D3D3
MF775689	Lactococcus phage LP0004c	Unclassified	#D3D3D3
MF775688	Lactococcus phage LP0004b	Unclassified	#D3D3D3
MF775686	Lactococcus phage LP9908	Unclassified	#D3D3D3
MF775685	Lactococcus phage LP9903	Unclassified	#D3D3D3
MF775684	Lactococcus phage LP9801	Unclassified	#D3D3D3
MF775683	Lactococcus phage LP9701	Unclassified	#D3D3D3
MF775682	Lactococcus phage LP9609	Unclassified	#D3D3D3
MF775681	Lactococcus phage LP9406	Unclassified	#D3D3D3
MF775680	Lactococcus phage LP9405b	Unclassified	#D3D3D3
MF775679	Lactococcus phage LP9405a	Unclassified	#D3D3D3
MF775678	Lactococcus phage LP9404	Unclassified	#D3D3D3
MF775677	Lactococcus phage LP9210	Unclassified	#D3D3D3
MF775676	Lactococcus phage LP9207	Unclassified	#D3D3D3
MF775675	Lactococcus phage LP9206c	Unclassified	#D3D3D3
MF775674	Lactococcus phage LP9206b	Unclassified	#D3D3D3
MF775673	Lactococcus phage LP9206a	Unclassified	#D3D3D3
MF775672	Lactococcus phage LP9205b	Unclassified	#D3D3D3
MF775671	Lactococcus phage LP9205a	Unclassified	#D3D3D3
MF775670	Lactococcus phage LP9104	Unclassified	#D3D3D3
MF775669	Lactococcus phage LP8511	Unclassified	#D3D3D3
MF775687	Lactococcus phage LP0004a	Unclassified	#D3D3D3
MF431741	Bacteriophage T5-like saus176N	Markadamsvirinae	#450410
MF431740	Bacteriophage T5-like cott162	Markadamsvirinae	#450410
MF431739	Bacteriophage T5-like chee158	Markadamsvirinae	#450410
MF431738	Bacteriophage T5-like poul149	Markadamsvirinae	#450410
MF431737	Escherichia phage saus132	Markadamsvirinae	#450410
MF431736	Bacteriophage T5-like chee130_1	Markadamsvirinae	#450410
MF431735	Bacteriophage T5-like poul124	Markadamsvirinae	#450410
MF431734	Bacteriophage T5-like saus111K	Markadamsvirinae	#450410
MF431733	Bacteriophage T5-like saus47N	Markadamsvirinae	#450410
MF431732	Bacteriophage T5-like pork29	Markadamsvirinae	#450410
MF431731	Bacteriophage T5-like pork27	Markadamsvirinae	#450410
MF431730	Escherichia phage chee24	Markadamsvirinae	#450410
MG766219	Staphylococcus phage vB_SauP_phiAGO1.9	Rakietenvirinae	#61DDDD
MG710528	Escherichia phage GER2	Sepvirinae	#E6D92A
