Node_ID	Description	Host	Colour (Host)
CP023686	Zymomonas mobilis subsp. mobilis	Unspecified	#D3D3D3
GU339467	Mycobacterium phage RedRock	Mycobacterium	#D4440F
MF417929	Uncultured Caudovirales phage clone 2F_1	Unspecified	#D3D3D3
MH616963	crAssphage sp. isolate ctbg_1	Unspecified	#D3D3D3
MH552500	crAssphage sp. isolate ctcc615	Unspecified	#D3D3D3
BK010471	Carjivirus communis	Unspecified	#D3D3D3
AC171169	Escherichia phage H8	Escherichia	#9DB81D
LR797314	uncultured Caudovirales phage	Unspecified	#D3D3D3
MW175890	Dompiswa phage TSP7_1	Dompiswa	#815973
KT997847	uncultured phage_Deep1-GF2-KM23-C739	Unspecified	#D3D3D3
AP013549	uncultured phage_MedDCM-OCT-S39-C11	Unspecified	#D3D3D3
AP013548	uncultured phage_MedDCM-OCT-S38-C3	Unspecified	#D3D3D3
AP013547	uncultured phage_MedDCM-OCT-S31-C1	Unspecified	#D3D3D3
AP013546	uncultured phage_MedDCM-OCT-S37-C6	Unspecified	#D3D3D3
AP013545	uncultured phage_MedDCM-OCT-S46-C10	Unspecified	#D3D3D3
AP013544	uncultured phage_MedDCM-OCT-S45-C18	Unspecified	#D3D3D3
AP013543	uncultured phage_MedDCM-OCT-S30-C28	Unspecified	#D3D3D3
AP013542	uncultured phage_MedDCM-OCT-S35-C6	Unspecified	#D3D3D3
AP013541	uncultured phage_MedDCM-OCT-S42-C7	Unspecified	#D3D3D3
AP013540	uncultured phage_MedDCM-OCT-S28-C10	Unspecified	#D3D3D3
AP013539	uncultured phage_MedDCM-OCT-S28-C3	Unspecified	#D3D3D3
AP013538	uncultured phage_MedDCM-OCT-S45-C4	Unspecified	#D3D3D3
CP052639	Klebsiella pneumoniae	Unspecified	#D3D3D3
LR756511	uncultured phage	Unspecified	#D3D3D3
LR756508	uncultured phage	Unspecified	#D3D3D3
LR756504	uncultured phage	Unspecified	#D3D3D3
LR756503	uncultured phage	Unspecified	#D3D3D3
LR756502	uncultured phage	Unspecified	#D3D3D3
LR756501	uncultured phage	Unspecified	#D3D3D3
LR756500	uncultured phage	Unspecified	#D3D3D3
LR745208	uncultured phage	Unspecified	#D3D3D3
LR745206	uncultured phage	Unspecified	#D3D3D3
AY576273	Alphaproteobacteria phage PhiJL001	Alphaproteobacteria	#4F2385
MN335248	Vibrio phage XacF13	Vibrio	#090662
CP023680	Zymomonas mobilis subsp. mobilis	Unspecified	#D3D3D3
CP038625	Arsenophonus nasoniae	Unspecified	#D3D3D3
MK250029	Prevotella phage Lak-C1	Prevotella	#2BC475
MK250028	Prevotella phage Lak-B9	Prevotella	#2BC475
MK250027	Prevotella phage Lak-B8	Prevotella	#2BC475
MK250026	Prevotella phage Lak-B7	Prevotella	#2BC475
MK250025	Prevotella phage Lak-B6	Prevotella	#2BC475
MK250024	Prevotella phage Lak-B5	Prevotella	#2BC475
MK250023	Prevotella phage Lak-B4	Prevotella	#2BC475
MK250022	Prevotella phage Lak-B3	Prevotella	#2BC475
MK250021	Prevotella phage Lak-B2	Prevotella	#2BC475
MK250020	Prevotella phage Lak-B1	Prevotella	#2BC475
MK250019	Prevotella phage Lak-A2	Prevotella	#2BC475
MK250018	Prevotella phage Lak-A1	Prevotella	#2BC475
MK250017	Prevotella phage Lak-A1	Prevotella	#2BC475
MK250016	Prevotella phage Lak-A1	Prevotella	#2BC475
MK250015	Prevotella phage Lak-A1	Prevotella	#2BC475
KX397280	Phage MedPE-SWcel-C56	Unspecified	#D3D3D3
AY319521	synthetic construct	Unspecified	#D3D3D3
CP019275	Escherichia coli	Unspecified	#D3D3D3
MG592615	Vibrio phage 1.249.A._10N.261.55.B9	Vibrio	#090662
MG592455	Vibrio phage 1.080.O._10N.286.48.A4	Vibrio	#090662
MG592427	Vibrio phage 1.044.O._10N.261.51.B8	Vibrio	#090662
MG592402	Vibrio phage 1.020.O._10N.222.48.A2	Vibrio	#090662
MG592394	Vibrio phage 1.008.O._10N.286.54.E5	Vibrio	#090662
MF361639	Flavobacterium phage FLiP	Flavobacterium	#A2905C
FPLJ01000048	Moritella viscosa	Unspecified	#D3D3D3
CP006891	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	Unspecified	#D3D3D3
AF143772	Mycobacterium avium	Unspecified	#D3D3D3
GU943031	uncultured phage MedDCM-OCT-S08-C159	Unspecified	#D3D3D3
CP014526	Haematospirillum jordaniae	Unspecified	#D3D3D3
JX625144	Enterobacteria phage M	Enterobacteria	#910522
HM208303	Escherichia phage vB_EcoP_24B	Escherichia	#9DB81D
HQ633062	Synechococcus phage S-CBP3	Synechococcus	#B636D9
AGRM01000002	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unspecified	#D3D3D3
AGRM01000003	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unspecified	#D3D3D3
AGRM01000004	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unspecified	#D3D3D3
AGRM01000005	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unspecified	#D3D3D3
AFYI01000001	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000003	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000004	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000005	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000006	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AFYI01000007	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unspecified	#D3D3D3
AB571791	Salmonella enterica subsp. enterica serovar Typhimurium	Unspecified	#D3D3D3
HM066936	Caulobacter phage phiCb5	Caulobacter	#617482
GU943068	uncultured phage MedDCM-OCT-S05-C849	Unspecified	#D3D3D3
GU943054	uncultured phage MedDCM-OCT-S04-C24	Unspecified	#D3D3D3
AF334111	Acinetobacter phage AP205	Acinetobacter	#B3DDB9
AF059242	Escherichia phage Qbeta	Escherichia	#9DB81D
DQ836063	Pseudomonas phage PRR1	Pseudomonas	#71EB7E
OR453399	Staphylococcus phage J4	Staphylococcus	#C3B1D8
OR453398	Staphylococcus phage J2	Staphylococcus	#C3B1D8
OR453397	Staphylococcus phage J1	Staphylococcus	#C3B1D8
OR777152	Arthrobacter phage Cupello	Arthrobacter	#025C10
OR777151	Arthrobacter phage Marchesin	Arthrobacter	#025C10
OR420753	Pelagibacter phage HTVC041P	Pelagibacter	#970CEC
OR420749	Methylophilales phage MEP434	Unspecified	#D3D3D3
OR420741	Roseobacter phage CRP-118	Roseobacter	#0219E1
OR354861	Staphylococcus phage S-CoN_Ph38	Staphylococcus	#C3B1D8
OR354860	Staphylococcus phage S-CoN_Ph37	Staphylococcus	#C3B1D8
OR354859	Staphylococcus phage S-CoN_Ph36	Staphylococcus	#C3B1D8
OR354858	Staphylococcus phage S-CoN_Ph35	Staphylococcus	#C3B1D8
OR354857	Staphylococcus phage S-CoN_Ph34	Staphylococcus	#C3B1D8
OR354856	Staphylococcus phage S-CoN_Ph33	Staphylococcus	#C3B1D8
OR354855	Staphylococcus phage S-CoN_Ph32	Staphylococcus	#C3B1D8
OR354854	Staphylococcus phage S-CoN_Ph31	Staphylococcus	#C3B1D8
OR354853	Staphylococcus phage S-CoN_Ph30	Staphylococcus	#C3B1D8
OR354852	Staphylococcus phage S-CoN_Ph29	Staphylococcus	#C3B1D8
OR354851	Staphylococcus phage S-CoN_Ph28	Staphylococcus	#C3B1D8
OR354850	Staphylococcus phage S-CoN_Ph27	Staphylococcus	#C3B1D8
OR354849	Staphylococcus phage S-CoN_Ph26	Staphylococcus	#C3B1D8
OR354848	Staphylococcus phage S-CoN_Ph25	Staphylococcus	#C3B1D8
OR354847	Staphylococcus phage S-CoN_Ph24	Staphylococcus	#C3B1D8
OR354846	Staphylococcus phage S-CoN_Ph23	Staphylococcus	#C3B1D8
OR354845	Staphylococcus phage S-CoN_Ph22	Staphylococcus	#C3B1D8
OR354844	Staphylococcus phage S-CoN_Ph21	Staphylococcus	#C3B1D8
OR354843	Staphylococcus phage S-CoN_Ph20	Staphylococcus	#C3B1D8
OR354842	Staphylococcus phage S-CoN_Ph19	Staphylococcus	#C3B1D8
OR354841	Staphylococcus phage S-CoN_Ph18	Staphylococcus	#C3B1D8
OR354840	Staphylococcus phage S-CoN_Ph17	Staphylococcus	#C3B1D8
OR354839	Staphylococcus phage S-CoN_Ph16	Staphylococcus	#C3B1D8
OR354838	Staphylococcus phage S-CoN_Ph15	Staphylococcus	#C3B1D8
OR354837	Staphylococcus phage S-CoN_Ph14	Staphylococcus	#C3B1D8
OR354836	Staphylococcus phage S-CoN_Ph13	Staphylococcus	#C3B1D8
OR354835	Staphylococcus phage S-CoN_Ph12	Staphylococcus	#C3B1D8
OR354834	Staphylococcus phage S-CoN_Ph11	Staphylococcus	#C3B1D8
OR354833	Staphylococcus phage S-CoN_Ph10	Staphylococcus	#C3B1D8
OR354832	Staphylococcus phage S-CoN_Ph9	Staphylococcus	#C3B1D8
OR354831	Staphylococcus phage S-CoN_Ph8	Staphylococcus	#C3B1D8
OR354830	Staphylococcus phage S-CoN_Ph7	Staphylococcus	#C3B1D8
OR354829	Staphylococcus phage S-CoN_Ph6	Staphylococcus	#C3B1D8
OR354828	Staphylococcus phage S-CoN_Ph5	Staphylococcus	#C3B1D8
OR354827	Staphylococcus phage S-CoN_Ph4	Staphylococcus	#C3B1D8
OR354826	Staphylococcus phage S-CoN_Ph3	Staphylococcus	#C3B1D8
OR354825	Staphylococcus phage S-CoN_Ph2	Staphylococcus	#C3B1D8
OR354824	Staphylococcus phage S-CoN_Ph1	Staphylococcus	#C3B1D8
OR354823	Staphylococcus phage Alsa_4	Staphylococcus	#C3B1D8
OR354822	Staphylococcus phage Alsa_3	Staphylococcus	#C3B1D8
OR354821	Staphylococcus phage Alsa_2	Staphylococcus	#C3B1D8
OR354820	Staphylococcus phage Alsa_1	Staphylococcus	#C3B1D8
OQ689084	Klebsiella phage vB_KpnA_SCNJ1-Z	Klebsiella	#B2CA1A
OQ689083	Klebsiella phage vB_KpnM_SCNJ1-Y	Klebsiella	#B2CA1A
OQ718882	Klebsiella phage vB_KpnS_SCNJ1-C	Klebsiella	#B2CA1A
ON524870	Pseudomonas phage vB_PaeM_RP14	Pseudomonas	#71EB7E
ON524869	Pseudomonas phage vB_PaeM_RP13	Pseudomonas	#71EB7E
ON524868	Pseudomonas phage vB_PaeM_RP12	Pseudomonas	#71EB7E
ON524867	Pseudomonas phage vB_PaeM_RP11	Pseudomonas	#71EB7E
ON524866	Pseudomonas phage vB_PaeM_RP10	Pseudomonas	#71EB7E
ON524865	Pseudomonas phage vB_PaeM_RP9	Pseudomonas	#71EB7E
ON524864	Pseudomonas phage vB_PaeM_RP8	Pseudomonas	#71EB7E
ON524863	Pseudomonas phage vB_PaeM_RP7	Pseudomonas	#71EB7E
ON524862	Pseudomonas phage vB_PaeM_RP6	Pseudomonas	#71EB7E
ON524861	Pseudomonas phage vB_PaeM_RP15	Pseudomonas	#71EB7E
OR526523	Acinetobacter phage vB_AbaM_AB3P2	Acinetobacter	#B3DDB9
OR670591	Staphylococcus phage MVC_VPHSA1	Staphylococcus	#C3B1D8
BK063464	Mushuvirus mushu	Unspecified	#D3D3D3
OQ079412	Pseudomonas phage phi C106	Pseudomonas	#71EB7E
OQ079410	Pseudomonas phage phi 21A	Pseudomonas	#71EB7E
OP810509	Sulfurimonas phage SNW-1	Sulfurimonas	#10750B
OL778852	Spiroplasma phage NSRO_Contig_RIP	Spiroplasma	#170A91
OP594723	Salmonella phage PS3-1	Salmonella	#9348B1
OP380607	Aeromonas phage avDM11-UST	Aeromonas	#2BC9AA
OP380606	Aeromonas phage avDM2	Aeromonas	#2BC9AA
OP380605	Aeromonas phage avDM2	Aeromonas	#2BC9AA
OP380604	Aeromonas phage avDM12-TAAL	Aeromonas	#2BC9AA
OP380603	Aeromonas phage avDM9-HANS	Aeromonas	#2BC9AA
OP380602	Aeromonas phage avDM5	Aeromonas	#2BC9AA
OP380601	Aeromonas phage avDM6	Aeromonas	#2BC9AA
OP380600	Aeromonas phage avDM7-IJDJ	Aeromonas	#2BC9AA
OP380599	Aeromonas phage avDM10-HWA	Aeromonas	#2BC9AA
OP380598	Aeromonas phage avDM14-QBC	Aeromonas	#2BC9AA
OP380597	Aeromonas phage UP87	Aeromonas	#2BC9AA
OP380596	Aeromonas phage avDM4	Aeromonas	#2BC9AA
OP380595	Aeromonas phage avDM3	Aeromonas	#2BC9AA
OP380594	Aeromonas phage B614	Aeromonas	#2BC9AA
CP111102	Escherichia phage EDL933-Stx	Escherichia	#9DB81D
OR544125	Acinetobacter phage vB_AbaM_AB4P2	Acinetobacter	#B3DDB9
OR496884	Aeromonas phage AerS_266	Aeromonas	#2BC9AA
OR683508	Pseudomonas phage Ppu-503	Pseudomonas	#71EB7E
OR729839	Stenotrophomonas phage StenM_174	Stenotrophomonas	#FF2DDE
OR651770	Salmonella phage vB_SenM_C12	Salmonella	#9348B1
OR767160	Escherichia phage vB-EcoS-XT34	Escherichia	#9DB81D
OR757436	Escherichia phage vB-EcoP-XT73	Escherichia	#9DB81D
OR757435	Escherichia phage vB-EcoP-XT32	Escherichia	#9DB81D
OR757434	Escherichia phage vB-EcoP-XT18	Escherichia	#9DB81D
OR513906	Staphylococcus phage vB_SauH-Mpol	Staphylococcus	#C3B1D8
OR513905	Staphylococcus phage vB_SauH-H33	Staphylococcus	#C3B1D8
OR513904	Staphylococcus phage vB_SauH-Ge	Staphylococcus	#C3B1D8
OR513903	Staphylococcus phage vB_Sau_191	Staphylococcus	#C3B1D8
OR805297	Pseudomonas phage Knedl	Pseudomonas	#71EB7E
OR805296	Pseudomonas phage Victoria	Pseudomonas	#71EB7E
OR805295	Pseudomonas phage Paride	Pseudomonas	#71EB7E
OR805294	Pseudomonas phage Ettore	Pseudomonas	#71EB7E
OR805293	Pseudomonas phage Deifobo	Pseudomonas	#71EB7E
OR805292	Pseudomonas phage Cassandra	Pseudomonas	#71EB7E
OR805291	Pseudomonas phage Aergia	Pseudomonas	#71EB7E
OR352959	Escherichia phage AV129	Escherichia	#9DB81D
OR352958	Escherichia phage AV128	Escherichia	#9DB81D
OR352957	Escherichia phage AV127	Escherichia	#9DB81D
OR352956	Escherichia phage AV126	Escherichia	#9DB81D
OR352955	Escherichia phage AV125	Escherichia	#9DB81D
OR352954	Escherichia phage AV124	Escherichia	#9DB81D
OR352953	Escherichia phage AV123	Escherichia	#9DB81D
OR352952	Escherichia phage AV122	Escherichia	#9DB81D
OR352951	Escherichia phage AV121	Escherichia	#9DB81D
OR352950	Escherichia phage AV120	Escherichia	#9DB81D
OR352949	Escherichia phage AV119	Escherichia	#9DB81D
OR352948	Escherichia phage AV118	Escherichia	#9DB81D
OR352947	Escherichia phage AV117	Escherichia	#9DB81D
OR352946	Escherichia phage AV116	Escherichia	#9DB81D
OR352945	Escherichia phage AV115	Escherichia	#9DB81D
OR352944	Escherichia phage AV114	Escherichia	#9DB81D
OR352943	Escherichia phage AV113	Escherichia	#9DB81D
OR352942	Escherichia phage AV112	Escherichia	#9DB81D
OR352941	Escherichia phage AV111	Escherichia	#9DB81D
OR352940	Escherichia phage AV110	Escherichia	#9DB81D
OR352939	Escherichia phage AV109	Escherichia	#9DB81D
OR352938	Escherichia phage AV108	Escherichia	#9DB81D
OR352937	Escherichia phage AV106	Escherichia	#9DB81D
OR352936	Escherichia phage AV105	Escherichia	#9DB81D
OR352935	Escherichia phage AV104	Escherichia	#9DB81D
OR352934	Escherichia phage AV103	Escherichia	#9DB81D
OR352933	Escherichia phage AV102	Escherichia	#9DB81D
OR786310	Escherichia phage ETEC-TG	Escherichia	#9DB81D
OR699283	Salmonella phage BAU.Micro_SLP-22	Salmonella	#9348B1
OR699282	Escherichia phage BAU.Micro_ELP-22	Escherichia	#9DB81D
OR544956	Escherichia phage vB_EcoM_EP57	Escherichia	#9DB81D
OR544955	Escherichia phage vB_EcoP_EP32B	Escherichia	#9DB81D
OR544954	Escherichia phage vB_EcoM_EP32a	Escherichia	#9DB81D
OR424386	Escherichia phage vB-Eco-KMB25	Escherichia	#9DB81D
OR424385	Escherichia phage vB-Eco-KMB47	Escherichia	#9DB81D
OR424384	Escherichia phage vB-Eco-KMB14	Escherichia	#9DB81D
OQ953986	Pseudomonas phage phiPstE	Pseudomonas	#71EB7E
OR699188	Salmonella phage SD-15_S21	Salmonella	#9348B1
OR699187	Salmonella phage SD-14_S20	Salmonella	#9348B1
OR699186	Salmonella phage SD-13_S19	Salmonella	#9348B1
OR699185	Salmonella phage SD-12_S18	Salmonella	#9348B1
OR699184	Salmonella phage SD-11_S17	Salmonella	#9348B1
OR699183	Salmonella phage SD-1_S14	Salmonella	#9348B1
OR699182	Salmonella phage SD-6_S16	Salmonella	#9348B1
OR699181	Salmonella phage SD-2_S15	Salmonella	#9348B1
OR757454	Escherichia phage BYEP02	Escherichia	#9DB81D
OR757453	Escherichia phage BYEP01	Escherichia	#9DB81D
OR464144	Salmonella phage CRW-SP6	Salmonella	#9348B1
OR464143	Salmonella phage CRW-SP5	Salmonella	#9348B1
OR464142	Salmonella phage CRW-SP4	Salmonella	#9348B1
OR464141	Salmonella phage CRW-SP3	Salmonella	#9348B1
OR464140	Salmonella phage CRW-SP2	Salmonella	#9348B1
OR464139	Salmonella phage CRW-SP1	Salmonella	#9348B1
OR539221	Escherichia phage vB-Eco-KMB42	Escherichia	#9DB81D
OR539220	Escherichia phage vB-Eco-KMB40	Escherichia	#9DB81D
OR539219	Escherichia phage vB-Eco-KMB39	Escherichia	#9DB81D
OR539218	Escherichia phage vB-Eco-KMB26	Escherichia	#9DB81D
OR539217	Escherichia phage vB-Eco-KMB22	Escherichia	#9DB81D
OR539216	Escherichia phage vB-Eco-KMB41	Escherichia	#9DB81D
OR242317	Salmonella phage RA148	Salmonella	#9348B1
OR242316	Salmonella phage RA140	Salmonella	#9348B1
OR242315	Salmonella phage RA114	Salmonella	#9348B1
OR242314	Salmonella phage RA112	Salmonella	#9348B1
OR242313	Salmonella phage RA40	Salmonella	#9348B1
OQ828465	Pseudomonas phage PA_ZH1	Pseudomonas	#71EB7E
OQ828464	Pseudomonas phage PA_CQ9	Pseudomonas	#71EB7E
OQ828463	Pseudomonas phage PA_GL1	Pseudomonas	#71EB7E
OQ828462	Acinetobacter phage AB_SZL4	Acinetobacter	#B3DDB9
OR513095	Salmonella phage STP-SP9	Salmonella	#9348B1
OR513094	Salmonella phage STP-SP8	Salmonella	#9348B1
OR513093	Salmonella phage STP-SP7	Salmonella	#9348B1
OR498733	Salmonella phage STP-SP6	Salmonella	#9348B1
OR498732	Salmonella phage STP-SP5	Salmonella	#9348B1
OR498731	Salmonella phage STP-SP4	Salmonella	#9348B1
OR485019	Salmonella phage STP-SP3	Salmonella	#9348B1
OR485018	Salmonella phage STP-SP2	Salmonella	#9348B1
OR485017	Salmonella phage STP-SP1	Salmonella	#9348B1
OR290783	Salmonella phage PRF-SP6	Salmonella	#9348B1
OR290782	Salmonella phage PRF-SP8	Salmonella	#9348B1
OR290781	Salmonella phage PRF-SP7	Salmonella	#9348B1
OR786374	Sinorhizobium phage StopSmel	Sinorhizobium	#A81C59
OR786373	Sinorhizobium phage Aussie	Sinorhizobium	#A81C59
OR786095	Staphylococcus phage MBBL139	Staphylococcus	#C3B1D8
OR786094	Streptococcus phage MBBL140	Streptococcus	#210ABF
OR769032	Escherichia phage JoYop	Escherichia	#9DB81D
OR769031	Escherichia phage Carena	Escherichia	#9DB81D
OR668231	Streptomyces phage Psst4	Streptomyces	#C27069
OR668230	Streptomyces phage Psst2	Streptomyces	#C27069
OR668229	Streptomyces phage Psst1	Streptomyces	#C27069
OR791114	Pseudoalteromonas phage vB_PalP_Y7	Pseudoalteromonas	#60BBC4
OR762784	Vibrio phage L9-1	Vibrio	#090662
OR820920	Bacillus phage vB_BpuM-ZY1	Bacillus	#512970
OR645408	Klebsiella phage 515	Klebsiella	#B2CA1A
OR756449	Salmonella phage vB_SalD_ABTNLS3	Salmonella	#9348B1
OR726634	Vibrio phage VP17802	Vibrio	#090662
OR666137	Klebsiella phage KP17	Klebsiella	#B2CA1A
OR644643	Klebsiella phage Kp11	Klebsiella	#B2CA1A
OR500437	Pseudomonas phage vB_PF_Y1-MI	Pseudomonas	#71EB7E
OR767211	Enterococcus phage EF-M80	Enterococcus	#AD269D
OR529409	Stenotrophomonas phage BUCTxx100	Stenotrophomonas	#FF2DDE
OR529408	Stenotrophomonas phage BUCTxx99	Stenotrophomonas	#FF2DDE
OR188767	Acinetobacter phage BUCTT20	Acinetobacter	#B3DDB9
OR188766	Acinetobacter phage BUCTT11	Acinetobacter	#B3DDB9
OR354876	Klebsiella phage ValerieMcCarty02	Klebsiella	#B2CA1A
OR354875	Klebsiella phage ValerieMcCarty01	Klebsiella	#B2CA1A
OR354874	Klebsiella phage ValerieMcCarty05	Klebsiella	#B2CA1A
OR756193	Escherichia phage vB_EcoS-EE09	Escherichia	#9DB81D
OR495701	Staphylococcus phage CUB-M	Staphylococcus	#C3B1D8
OR495700	Staphylococcus phage CUB-B	Staphylococcus	#C3B1D8
OR495699	Staphylococcus phage CUB-A	Staphylococcus	#C3B1D8
OR287812	Klebsiella phage PEA128	Klebsiella	#B2CA1A
OR639934	Klebsiella phage vB_KpnP_KpV763	Klebsiella	#B2CA1A
OR287811	Klebsiella phage VSG32	Klebsiella	#B2CA1A
OR287810	Klebsiella phage NNA-G4	Klebsiella	#B2CA1A
OR287809	Klebsiella phage SAA231	Klebsiella	#B2CA1A
OR287808	Klebsiella phage NKA196	Klebsiella	#B2CA1A
OR287807	Klebsiella phage VKV295	Klebsiella	#B2CA1A
OR287806	Klebsiella phage Rappa3	Klebsiella	#B2CA1A
OR287805	Klebsiella phage SEA1f	Klebsiella	#B2CA1A
OR287804	Klebsiella phage ChM-G5	Klebsiella	#B2CA1A
OR508996	Enterobacter phage Mulvp2	Enterobacter	#FC1008
OP374082	Haloarchaeal virus HJTV-4	Haloarchaeal	#4788D9
OP374081	Haloterrigena jeotgali icosahedral virus 1	Haloterrigena	#3D3D4E
OR122686	Salmonella phage vB_SenM-AKM_CE	Salmonella	#9348B1
OR723929	Vibrio phage vB_VpaP_SJSY21	Vibrio	#090662
OR733342	Pseudomonas phage vB_PA_16c	Pseudomonas	#71EB7E
OR776998	Escherichia phage 2307YX22	Escherichia	#9DB81D
OR684907	Klebsiella phage ph168	Klebsiella	#B2CA1A
OR770614	Staphylococcus phage vB_StaM_PB50	Staphylococcus	#C3B1D8
OR780565	Escherichia phage DCP2	Escherichia	#9DB81D
OR734989	Vibrio phage vB_VpP_1	Vibrio	#090662
OR730450	Acinetobacter phage HZY2308	Acinetobacter	#B3DDB9
OR689712	Pseudomonas phage vB_Pae_PLY	Pseudomonas	#71EB7E
OQ953987	Pseudomonas phage phiPstEGF	Pseudomonas	#71EB7E
OQ953985	Pseudomonas phage phiPst2111	Pseudomonas	#71EB7E
OR795024	Aeromonas phage vB_AhydM-H1	Aeromonas	#2BC9AA
OR662133	Vibrio phage vB_VpaS_SD15	Vibrio	#090662
OR509663	Bacillus phage vB_BanS-A16R1	Bacillus	#512970
OR509662	Bacillus phage vB_BanS-A16R4	Bacillus	#512970
OR762182	Halorubrum virus V_ICIS4	Halorubrum	#26500C
OR725497	Streptomyces phage LuckySocke	Streptomyces	#C27069
OR725496	Mycobacterium phage Cullens	Mycobacterium	#D4440F
OR725495	Mycobacterium phage Pembroke	Mycobacterium	#D4440F
OR725494	Mycobacterium phage Rummer	Mycobacterium	#D4440F
OR725493	Streptomyces phage Spelly	Streptomyces	#C27069
OR725492	Streptomyces phage Alone3	Streptomyces	#C27069
OR725491	Mycobacterium phage LBerry	Mycobacterium	#D4440F
OR725490	Gordonia phage LuckyLeo	Gordonia	#5B1787
OR725489	Gordonia phage RayTheFireFly	Gordonia	#5B1787
OR813930	Mycobacterium phage WXIN	Mycobacterium	#D4440F
OR791786	Escherichia phage Copypasta	Escherichia	#9DB81D
OR797478	Enterococcus phage G01	Enterococcus	#AD269D
OR780021	Clostridium phage XP41-N3	Clostridium	#B53E9C
LC788711	Escherichia coli phage NG_S8	Escherichia	#9DB81D
LC788710	Escherichia coli phage Wa28	Escherichia	#9DB81D
LC788709	Escherichia coli phage Shin27	Escherichia	#9DB81D
LC788708	Escherichia coli phage AZ21	Escherichia	#9DB81D
LC788707	Escherichia coli phage AZ23	Escherichia	#9DB81D
LC788706	Escherichia coli phage KS_S14	Escherichia	#9DB81D
LC788705	Escherichia coli phage NG_A1	Escherichia	#9DB81D
LC788704	Staphylococcus phage phiSNIID	Staphylococcus	#C3B1D8
LC788703	Staphylococcus phage phiRNIID	Staphylococcus	#C3B1D8
OR791690	Escherichia phage Ecolipha-JLYS-2023	Escherichia	#9DB81D
OR733708	Pseudomonas phage BL2	Pseudomonas	#71EB7E
OR733707	Pseudomonas phage BL1	Pseudomonas	#71EB7E
OR733709	Pseudomonas phage BL3	Pseudomonas	#71EB7E
OR770645	Acinetobacter phage Abgy2021-4-1	Acinetobacter	#B3DDB9
OR770644	Acinetobacter phage Abgy2021-6-2	Acinetobacter	#B3DDB9
OR754315	Stutzerimonas phage vB_SstS_STP9	Stutzerimonas	#FE7CAF
OR754314	Pseudomonas phage vB_PmeS_STP12	Pseudomonas	#71EB7E
OR754313	Stutzerimonas phage vB_SstS_STP9	Stutzerimonas	#FE7CAF
OR725122	Bacillus phage BC-VP	Bacillus	#512970
OR687644	Salmonella phage PC79-13	Salmonella	#9348B1
OR611155	Staphylococcus phage vB_SauM-V1SA12	Staphylococcus	#C3B1D8
OR683639	Staphylococcus phage vB_SauR_SW21	Staphylococcus	#C3B1D8
OR762047	Enterococcus phage SAM-E.f 12	Enterococcus	#AD269D
OR670592	Staphylococcus phage MVC_VPHSA2	Staphylococcus	#C3B1D8
MT360680	Klebsiella virus 2019KP1	Klebsiella	#B2CA1A
MZ570582	Staphylococcus phage SAP_1432	Staphylococcus	#C3B1D8
OR799564	Shigella phage VIT_AJPSC	Shigella	#6ACD74
OQ921331	Escherichia phage vB_EcoP_PAS7	Escherichia	#9DB81D
OR113390	Clostridium phage vB_CtyS-FA70	Clostridium	#B53E9C
OR113389	Clostridium phage vB_CtyS-FA67	Clostridium	#B53E9C
OR113388	Clostridium phage vB_CtyS-FA88	Clostridium	#B53E9C
OR660046	Acinetobacter phage YZ2	Acinetobacter	#B3DDB9
OP940114	Staphylococcus phage vB_SauM_VL10	Staphylococcus	#C3B1D8
OR687155	Pseudomonas phage PIP	Pseudomonas	#71EB7E
OR142618	Pseudomonas phage Callisto	Pseudomonas	#71EB7E
MG999954	Enterobacter phage myPSH1140	Enterobacter	#FC1008
OR420755	Roseobacter phage CRP-113	Roseobacter	#0219E1
OR420754	Pelagibacter phage HTVC142P	Pelagibacter	#970CEC
OR420752	Roseobacter phage CRP-403	Roseobacter	#0219E1
OR420751	Pelagibacter phage HTVC309P	Pelagibacter	#970CEC
OR420750	Roseobacter phage CRP-361	Roseobacter	#0219E1
OR420748	Roseobacter phage CRP-143	Roseobacter	#0219E1
OR420747	Methylophilales phage MEP433	Unspecified	#D3D3D3
OR420746	Roseobacter phage CRP-227	Roseobacter	#0219E1
OR420745	Pelagibacter phage HTVC048P	Pelagibacter	#970CEC
OR420744	Pelagibacter phage HTVC134P	Pelagibacter	#970CEC
OR420743	Roseobacter phage CRP-125	Roseobacter	#0219E1
OR420742	Methylophilales phage MEP432	Unspecified	#D3D3D3
OR420740	Roseobacter phage CRP-114	Roseobacter	#0219E1
