Node_ID	Description	Family	Colour (Family)
PP920552	Escherichia phage SM_A2	Unclassified	#D3D3D3
PP920551	Escherichia phage KS_S9	Unclassified	#D3D3D3
PP920550	Escherichia phage Dru_SM5	Unclassified	#D3D3D3
PQ069208	Bacillus phage S4-1	Unclassified	#D3D3D3
PQ069207	Bacillus phage S4-5	Unclassified	#D3D3D3
PQ069206	Bacillus phage S4-4	Unclassified	#D3D3D3
PQ069205	Bacillus phage S4-3	Unclassified	#D3D3D3
PQ069204	Bacillus phage S4-2	Unclassified	#D3D3D3
PQ069203	Bacillus phage C30-2	Unclassified	#D3D3D3
PQ069202	Bacillus phage C30-1	Unclassified	#D3D3D3
PQ069201	Bacillus phage C30-3	Unclassified	#D3D3D3
PP316169	Ralstonia phage RS-CA1	Unclassified	#D3D3D3
PP316168	Ralstonia phage RS-AB1	Unclassified	#D3D3D3
PP551948	Pseudomonas phage UNO-G1W1	Unclassified	#D3D3D3
PQ141284	Escherichia phage fEg-Eco06	Unclassified	#D3D3D3
PQ115172	Mycobacterium phage Maddy2	Unclassified	#D3D3D3
OR424388	Escherichia phage HEMP5	Unclassified	#D3D3D3
OR424387	Escherichia phage HEMP4	Unclassified	#D3D3D3
OR387121	Mycolicibacterium phage WillG	Unclassified	#D3D3D3
OR387120	Mycolicibacterium phage Suzzy	Unclassified	#D3D3D3
OR387119	Mycolicibacterium phage SarahF	Unclassified	#D3D3D3
OR387118	Mycolicibacterium phage Maddie1	Unclassified	#D3D3D3
OR387117	Mycolicibacterium phage JSGardenL2	Unclassified	#D3D3D3
OR387116	Mycolicibacterium phage JSForest2	Unclassified	#D3D3D3
OR387115	Mycolicibacterium phage JSForest1	Unclassified	#D3D3D3
OR387114	Mycolicibacterium phage CN1	Unclassified	#D3D3D3
OR387113	Mycolicibacterium phage ChrisB1	Unclassified	#D3D3D3
OR387112	Mycolicibacterium phage Caroline1	Unclassified	#D3D3D3
OR387111	Mycolicibacterium phage Anya	Unclassified	#D3D3D3
